"","state_county","fips","state","abbr","start.date","end.date","duration","count.max","sr","r0","r0.Pr","r0.ave3","r0.ave5","r0.est","r0.est.se","r0.est.ave3","r0.est.ave5","r0.u95","r0.u66","r0.l66","r0.l95","r1","r1.Pr","r1.est","r1.est.se","r1.u95","r1.u66","r1.l66","r1.l95","rmax","rmax.est","rmax.u95","rmax.u66","rmax.l66","rmax.l95","rmin","rmin.est","rmin.u95","rmin.u66","rmin.l66","rmin.l95"
"17","UT_Salt Lake",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CA_Marin",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CA_Napa",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CA_Sonoma",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","OR_Washington",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","WA_King",53033,"Washington","WA",2020-02-11,2020-05-05,85,2.94443897916644,0.02,0.0708989788940027,4e-04,0.0712470140467567,0.0717561099083891,0.0599317207933885,0.0312587330538202,0.0599525519874802,0.0599385221470854,0.111687629828963,0.0884296229415857,0.0274077099483164,-0.0307864814353398,-0.0669448212339721,0.00375125603284976,-0.051275569717239,0.0312587330538202,0.005089199654126,-0.0219131332446713,-0.0815823723853558,-0.107409620268124,0.0820000769764234,0.0636621529321957,0.124327368669739,0.0930972737814102,0.0322360990850854,-0.000580854886209511,-0.0900032729616112,-0.057506001187831,0.00157490066446568,-0.02646296382427,-0.090653427869241,-0.116750388419206
"23","CA_Alameda",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","FL_Hillsborough",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","FL_Manatee",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","NY_New York City",NA,"New York","NY",2020-02-25,2020-05-05,71,7.1074254741107,0.0347144122679152,0.371833963340758,0.00120509041910678,0.370479792075192,0.370463563073525,0.364362369176969,0.0395970072135621,0.364374609901055,0.363878986800503,0.441544195982809,0.40247269033425,0.32413948366491,0.287616908733668,-0.0479355864739805,0.00590337426612982,-0.0494923395796406,0.0395970072135621,0.0105674765607443,-0.0105282605975848,-0.0924519031041973,-0.126653424625315,0.36686287584328,0.364399091349228,0.439763792649981,0.402149604437877,0.323681358152639,0.28565700760356,-0.0869361756659741,-0.0871847379656378,-0.0216569591567551,-0.0470100393870634,-0.12661153789985,-0.172532125308024
"27","RI_Unknown",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CA_Placer",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","CA_San Mateo",NA,"Alabama","AK",2020-01-22,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","GA_Fulton",13121,"Georgia","GA",2020-03-01,2020-05-05,66,2.77258872223978,0.02,0.0623440905610484,4e-04,0.0621945056942919,0.0610421323015194,0.0495714205605495,0.0402646360978545,0.0495867850530532,0.0495660032177722,0.123916773559844,0.0875599519987973,0.0132022338208513,-0.0499232000972551,0.0287566220658436,0.00400559664723935,-0.0182838637542566,0.0402646360978545,0.0418459740234635,0.0168320314860733,-0.0479362584314467,-0.089527563946593,0.0764130776033701,0.0511912375134484,0.110135257301219,0.0827618751407861,0.0217449925722697,-0.0267640452106143,-0.000910536255764944,-0.0210519563883941,0.0365177719691046,0.0107162503070431,-0.0468846019574547,-0.0877854447846696
